Entity,Code,Year,Corruption Perception Index - Transparency International (2018),Continent
Afghanistan,AFG,2018,16,Asia
Albania,ALB,2018,36,Europe
Algeria,DZA,2018,35,Africa
Angola,AGO,2018,19,Africa
Argentina,ARG,2018,40,South America
Armenia,ARM,2018,35,Asia
Australia,AUS,2018,77,Oceania
Austria,AUT,2018,76,Europe
Azerbaijan,AZE,2018,25,Asia
Bahamas,BHS,2018,65,North America
Bahrain,BHR,2018,36,Asia
Bangladesh,BGD,2018,26,Asia
Barbados,BRB,2018,68,North America
Belarus,BLR,2018,44,Europe
Belgium,BEL,2018,75,Europe
Benin,BEN,2018,40,Africa
Bhutan,BTN,2018,68,Asia
Bolivia,BOL,2018,29,South America
Bosnia and Herzegovina,BIH,2018,38,Europe
Botswana,BWA,2018,61,Africa
Brazil,BRA,2018,35,South America
Brunei,BRN,2018,63,Asia
Bulgaria,BGR,2018,42,Europe
Burkina Faso,BFA,2018,41,Africa
Burundi,BDI,2018,17,Africa
Cambodia,KHM,2018,20,Asia
Cameroon,CMR,2018,25,Africa
Canada,CAN,2018,81,North America
Cape Verde,CPV,2018,57,Africa
Central African Republic,CAF,2018,26,Africa
Chad,TCD,2018,19,Africa
Chile,CHL,2018,67,South America
China,CHN,2018,39,Asia
Colombia,COL,2018,36,South America
Comoros,COM,2018,27,Africa
Congo,COG,2018,19,Africa
Costa Rica,CRI,2018,56,North America
Cote d'Ivoire,CIV,2018,35,
Croatia,HRV,2018,48,Europe
Cuba,CUB,2018,47,North America
Cyprus,CYP,2018,59,Asia
Czechia,CZE,2018,59,Europe
Democratic Republic of Congo,COD,2018,20,
Denmark,DNK,2018,88,Europe
Djibouti,DJI,2018,31,Africa
Dominica,DMA,2018,57,North America
Dominican Republic,DOM,2018,30,North America
Ecuador,ECU,2018,34,South America
Egypt,EGY,2018,35,Africa
El Salvador,SLV,2018,35,North America
Equatorial Guinea,GNQ,2018,16,Africa
Eritrea,ERI,2018,24,Africa
Estonia,EST,2018,73,Europe
Eswatini,SWZ,2018,38,Africa
Ethiopia,ETH,2018,34,Africa
Finland,FIN,2018,85,Europe
France,FRA,2018,72,Europe
Gabon,GAB,2018,31,Africa
Gambia,GMB,2018,37,Africa
Georgia,GEO,2018,58,Asia
Germany,DEU,2018,80,Europe
Ghana,GHA,2018,41,Africa
Greece,GRC,2018,45,Europe
Grenada,GRD,2018,52,North America
Guatemala,GTM,2018,27,North America
Guinea,GIN,2018,28,Africa
Guinea-Bissau,GNB,2018,16,Africa
Guyana,GUY,2018,37,South America
Haiti,HTI,2018,20,North America
Honduras,HND,2018,29,North America
Hong Kong,HKG,2018,76,Asia
Hungary,HUN,2018,46,Europe
Iceland,ISL,2018,76,Europe
India,IND,2018,41,Asia
Indonesia,IDN,2018,38,Asia
Iran,IRN,2018,28,Asia
Iraq,IRQ,2018,18,Asia
Ireland,IRL,2018,73,Europe
Israel,ISR,2018,61,Asia
Italy,ITA,2018,52,Europe
Jamaica,JAM,2018,44,North America
Japan,JPN,2018,73,Asia
Jordan,JOR,2018,49,Asia
Kazakhstan,KAZ,2018,31,Asia
Kenya,KEN,2018,27,Africa
Kosovo,OWID_KOS,2018,37,
Kuwait,KWT,2018,41,Asia
Kyrgyzstan,KGZ,2018,29,Asia
Laos,LAO,2018,29,Asia
Latvia,LVA,2018,58,Europe
Lebanon,LBN,2018,28,Asia
Lesotho,LSO,2018,41,Africa
Liberia,LBR,2018,32,Africa
Libya,LBY,2018,17,Africa
Lithuania,LTU,2018,59,Europe
Luxembourg,LUX,2018,81,Europe
Madagascar,MDG,2018,25,Africa
Malawi,MWI,2018,32,Africa
Malaysia,MYS,2018,47,Asia
Maldives,MDV,2018,31,Asia
Mali,MLI,2018,32,Africa
Malta,MLT,2018,54,Europe
Mauritania,MRT,2018,27,Africa
Mauritius,MUS,2018,51,Africa
Mexico,MEX,2018,28,North America
Moldova,MDA,2018,33,Europe
Mongolia,MNG,2018,37,Asia
Montenegro,MNE,2018,45,Europe
Morocco,MAR,2018,43,Africa
Mozambique,MOZ,2018,23,Africa
Myanmar,MMR,2018,29,Asia
Namibia,NAM,2018,53,Africa
Nepal,NPL,2018,31,Asia
Netherlands,NLD,2018,82,Europe
New Zealand,NZL,2018,87,Oceania
Nicaragua,NIC,2018,25,North America
Niger,NER,2018,34,Africa
Nigeria,NGA,2018,27,Africa
North Korea,PRK,2018,14,Asia
North Macedonia,MKD,2018,37,Europe
Norway,NOR,2018,84,Europe
Oman,OMN,2018,52,Asia
Pakistan,PAK,2018,33,Asia
Panama,PAN,2018,37,North America
Papua New Guinea,PNG,2018,28,Oceania
Paraguay,PRY,2018,29,South America
Peru,PER,2018,35,South America
